school,state,leaid,year,enrollment,freelunch,hispanic,black,asian,white,teachers,studteachratio,district,charter,title1
MOZART,Massachusetts,2502790,2013,173,101,50,53,6,53,11.36,15.23,boston,No,Yes
MOZART,Massachusetts,2502790,2014,162,86,43,47,8,58,14.4,11.25,boston,No,Yes
MOZART,Massachusetts,2502790,2015,176,0,37,48,14,66,13.33,13.2,boston,No,Yes
MOZART,Massachusetts,2502790,2016,175,0,37,47,10,65,13.66,12.81,boston,No,Yes
MOZART,Massachusetts,2502790,2017,179,0,43,43,7,71,16.03,11.17,boston,No,Yes
NATHAN HALE,Massachusetts,2502790,2013,182,144,61,102,2,2,8.45,21.54,boston,No,Yes
NATHAN HALE,Massachusetts,2502790,2014,176,131,63,97,1,5,9.58,18.37,boston,No,Yes
NATHAN HALE,Massachusetts,2502790,2015,169,0,62,89,4,5,10.49,16.11,boston,No,Yes
NATHAN HALE,Massachusetts,2502790,2016,174,0,64,88,5,9,10.31,16.88,boston,No,Yes
NATHAN HALE,Massachusetts,2502790,2017,158,0,50,78,10,10,10.26,15.4,boston,No,Yes
NEW MISSION HIGH SCHOOL,Massachusetts,2502790,2013,294,224,90,185,4,10,22.03,13.35,boston,No,Yes
NEW MISSION HIGH SCHOOL,Massachusetts,2502790,2014,301,191,94,189,3,9,27.79,10.83,boston,No,Yes
NEW MISSION HIGH SCHOOL,Massachusetts,2502790,2015,319,0,102,199,4,6,21.52,14.82,boston,No,Yes
NEW MISSION HIGH SCHOOL,Massachusetts,2502790,2016,320,0,101,208,1,4,24.72,12.94,boston,No,Yes
NEW MISSION HIGH SCHOOL,Massachusetts,2502790,2017,392,0,138,235,4,9,33.39,11.74,boston,No,Yes
O W HOLMES,Massachusetts,2502790,2013,331,278,84,211,7,7,23.32,14.19,boston,No,Yes
O W HOLMES,Massachusetts,2502790,2014,335,260,89,207,9,9,24.21,13.84,boston,No,Yes
O W HOLMES,Massachusetts,2502790,2015,367,0,96,219,11,13,21.77,16.86,boston,No,Yes
O W HOLMES,Massachusetts,2502790,2016,368,0,102,222,10,10,23.97,15.35,boston,No,Yes
O W HOLMES,Massachusetts,2502790,2017,347,0,100,204,11,10,27.53,12.6,boston,No,Yes
O'BRYANT SCHOOL MATH/SCIENCE,Massachusetts,2502790,2013,1353,959,387,503,286,150,77.54,17.45,boston,No,Yes
O'BRYANT SCHOOL MATH/SCIENCE,Massachusetts,2502790,2014,1415,871,419,496,312,158,83.68,16.91,boston,No,Yes
O'BRYANT SCHOOL MATH/SCIENCE,Massachusetts,2502790,2015,1428,0,436,470,320,163,83.63,17.08,boston,No,Yes
O'BRYANT SCHOOL MATH/SCIENCE,Massachusetts,2502790,2016,1437,0,443,472,324,160,88.05,16.32,boston,No,Yes
O'BRYANT SCHOOL MATH/SCIENCE,Massachusetts,2502790,2017,1562,0,507,519,331,161,96.1,16.25,boston,No,Yes
OLIVER HAZARD PERRY,Massachusetts,2502790,2013,251,163,53,51,10,137,17.76,14.13,boston,No,Yes
OLIVER HAZARD PERRY,Massachusetts,2502790,2014,249,149,46,52,12,135,18.1,13.76,boston,No,Yes
OLIVER HAZARD PERRY,Massachusetts,2502790,2015,232,0,40,48,7,133,17.73,13.09,boston,No,Yes
OLIVER HAZARD PERRY,Massachusetts,2502790,2016,222,0,38,38,7,130,18.96,11.71,boston,No,Yes
OLIVER HAZARD PERRY,Massachusetts,2502790,2017,220,0,32,47,2,133,21.09,10.43,boston,No,Yes
ORCHARD GARDENS,Massachusetts,2502790,2013,824,680,438,345,8,10,61.97,13.3,boston,No,Yes
ORCHARD GARDENS,Massachusetts,2502790,2014,837,618,417,376,9,13,64.11,13.06,boston,No,Yes
ORCHARD GARDENS,Massachusetts,2502790,2015,844,0,411,381,12,16,65.7,12.85,boston,No,Yes
ORCHARD GARDENS,Massachusetts,2502790,2016,886,0,414,415,13,18,58.43,15.16,boston,No,Yes
ORCHARD GARDENS,Massachusetts,2502790,2017,905,0,383,461,12,17,68.18,13.27,boston,No,Yes
PATRICK J KENNEDY,Massachusetts,2502790,2013,319,247,276,14,4,20,21.98,14.51,boston,No,Yes
PATRICK J KENNEDY,Massachusetts,2502790,2014,307,240,263,10,5,25,19.08,16.09,boston,No,Yes
PATRICK J KENNEDY,Massachusetts,2502790,2015,302,0,265,10,6,19,16.63,18.16,boston,No,Yes
PATRICK J KENNEDY,Massachusetts,2502790,2016,297,0,263,7,6,19,18.92,15.7,boston,No,Yes
PATRICK J KENNEDY,Massachusetts,2502790,2017,305,0,270,8,8,18,22.29,13.68,boston,No,Yes
PAUL A DEVER,Massachusetts,2502790,2013,583,502,363,145,44,19,41.1,14.18,boston,No,Yes
PAUL A DEVER,Massachusetts,2502790,2014,524,436,310,139,42,21,37.34,14.03,boston,No,Yes
PAUL A DEVER,Massachusetts,2502790,2015,498,0,298,137,33,18,30.66,16.24,boston,No,Yes
PAUL A DEVER,Massachusetts,2502790,2016,415,0,267,95,23,18,28.84,14.39,boston,No,Yes
PAUL A DEVER,Massachusetts,2502790,2017,356,0,217,90,22,18,34.35,10.36,boston,No,Yes
PAULINE AGASSIZ SHAW ELEMENTARY SCHOOL,MASSACHUSETTS,2502790,2014,106,63,26,73,3,1,8.99,11.79,boston,No,Yes
PAULINE AGASSIZ SHAW ELEMENTARY SCHOOL,MASSACHUSETTS,2502790,2015,160,0,46,99,5,4,7.24,22.1,boston,No,Yes
PAULINE AGASSIZ SHAW ELEMENTARY SCHOOL,MASSACHUSETTS,2502790,2016,203,0,51,133,6,6,14.42,14.08,boston,No,Yes
PAULINE AGASSIZ SHAW ELEMENTARY SCHOOL,MASSACHUSETTS,2502790,2017,256,0,63,165,6,7,17.93,14.28,boston,No,Yes
PHINEAS BATES,Massachusetts,2502790,2013,293,185,112,91,15,60,20.72,14.14,boston,No,Yes
PHINEAS BATES,Massachusetts,2502790,2014,292,160,112,94,12,62,22.69,12.87,boston,No,Yes
PHINEAS BATES,Massachusetts,2502790,2015,297,0,107,87,18,66,18.33,16.2,boston,No,Yes
PHINEAS BATES,Massachusetts,2502790,2016,280,0,104,77,16,67,22.81,12.28,boston,No,Yes
PHINEAS BATES,Massachusetts,2502790,2017,262,0,98,83,15,57,22.72,11.53,boston,No,Yes
QUINCY UPPER SCHOOL,Massachusetts,2502790,2013,487,419,79,99,258,32,39.22,12.42,boston,No,Yes
QUINCY UPPER SCHOOL,Massachusetts,2502790,2014,497,391,93,107,253,31,42.09,11.81,boston,No,Yes
QUINCY UPPER SCHOOL,Massachusetts,2502790,2015,507,0,101,106,261,24,40.65,12.47,boston,No,Yes
QUINCY UPPER SCHOOL,Massachusetts,2502790,2016,506,0,103,108,258,22,42.93,11.79,boston,No,Yes
QUINCY UPPER SCHOOL,Massachusetts,2502790,2017,507,0,116,108,244,25,45.87,11.05,boston,No,Yes
RAFAEL HERNANDEZ,Massachusetts,2502790,2013,417,302,380,13,1,20,23.16,18.01,boston,No,Yes
RAFAEL HERNANDEZ,Massachusetts,2502790,2014,422,280,384,15,1,17,23.72,17.79,boston,No,Yes
RAFAEL HERNANDEZ,Massachusetts,2502790,2015,399,0,368,9,0,16,21.44,18.61,boston,No,Yes
RAFAEL HERNANDEZ,Massachusetts,2502790,2016,407,0,368,9,0,22,23.79,17.11,boston,No,Yes
RAFAEL HERNANDEZ,Massachusetts,2502790,2017,389,0,344,12,1,24,24.49,15.88,boston,No,Yes
RICHARD J MURPHY,Massachusetts,2502790,2013,899,561,145,183,310,237,56.99,15.77,boston,No,Yes
RICHARD J MURPHY,Massachusetts,2502790,2014,882,511,156,178,324,198,58.21,15.15,boston,No,Yes
RICHARD J MURPHY,Massachusetts,2502790,2015,917,0,177,192,334,178,59.89,15.31,boston,No,Yes
RICHARD J MURPHY,Massachusetts,2502790,2016,946,0,189,177,368,173,57.29,16.51,boston,No,Yes
RICHARD J MURPHY,Massachusetts,2502790,2017,941,0,203,173,394,135,60.9,15.45,boston,No,Yes
ROGER CLAP,Massachusetts,2502790,2013,173,120,62,49,9,49,14.84,11.66,boston,No,Yes
ROGER CLAP,Massachusetts,2502790,2014,184,120,62,49,16,54,9.94,18.51,boston,No,Yes
ROGER CLAP,Massachusetts,2502790,2015,158,0,48,46,11,49,8.66,18.24,boston,No,Yes
ROGER CLAP,Massachusetts,2502790,2016,170,0,49,64,10,43,9.94,17.1,boston,No,Yes
ROGER CLAP,Massachusetts,2502790,2017,157,0,49,60,8,36,12.1,12.98,boston,No,Yes
SAMUEL ADAMS,Massachusetts,2502790,2013,292,231,210,15,2,58,23.03,12.68,boston,No,Yes
SAMUEL ADAMS,Massachusetts,2502790,2014,308,217,234,16,2,51,21.77,14.15,boston,No,Yes
SAMUEL ADAMS,Massachusetts,2502790,2015,302,0,228,18,2,50,20.27,14.9,boston,No,Yes
SAMUEL ADAMS,Massachusetts,2502790,2016,294,0,222,12,1,53,21.04,13.97,boston,No,Yes
SAMUEL ADAMS,Massachusetts,2502790,2017,291,0,220,12,4,52,24.43,11.91,boston,No,Yes
SAMUEL W MASON,Massachusetts,2502790,2013,243,175,77,135,3,10,21.08,11.53,boston,No,Yes
SAMUEL W MASON,Massachusetts,2502790,2014,242,162,86,121,3,13,18.94,12.78,boston,No,Yes
SAMUEL W MASON,Massachusetts,2502790,2015,231,0,79,115,5,18,17.98,12.85,boston,No,Yes
SAMUEL W MASON,Massachusetts,2502790,2016,231,0,86,114,4,14,16.89,13.68,boston,No,Yes
SAMUEL W MASON,Massachusetts,2502790,2017,242,0,84,117,5,15,17.97,13.47,boston,No,Yes
SARAH GREENWOOD,Massachusetts,2502790,2013,412,368,279,118,2,7,26.09,15.79,boston,No,Yes
SARAH GREENWOOD,Massachusetts,2502790,2014,415,350,279,119,2,10,32.95,12.59,boston,No,Yes
SARAH GREENWOOD,Massachusetts,2502790,2015,414,0,290,112,1,6,32.02,12.93,boston,No,Yes
SARAH GREENWOOD,Massachusetts,2502790,2016,399,0,294,94,0,4,29.74,13.42,boston,No,Yes
SARAH GREENWOOD,Massachusetts,2502790,2017,402,0,293,95,1,3,30.15,13.33,boston,No,Yes
SNOWDEN INTERNATIONAL SCHOOL AT COPLEY,Massachusetts,2502790,2013,397,340,164,152,30,38,31.04,12.79,boston,No,Yes
SNOWDEN INTERNATIONAL SCHOOL AT COPLEY,Massachusetts,2502790,2014,389,293,166,157,27,29,35.17,11.06,boston,No,Yes
SNOWDEN INTERNATIONAL SCHOOL AT COPLEY,Massachusetts,2502790,2015,373,0,172,133,33,26,30.23,12.34,boston,No,Yes
SNOWDEN INTERNATIONAL SCHOOL AT COPLEY,Massachusetts,2502790,2016,439,0,218,155,29,23,32.04,13.7,boston,No,Yes
SNOWDEN INTERNATIONAL SCHOOL AT COPLEY,Massachusetts,2502790,2017,444,0,220,151,29,28,35.09,12.65,boston,No,Yes
TECHBOSTON ACADEMY,Massachusetts,2502790,2013,1015,874,180,741,38,30,87.62,11.58,boston,No,Yes
TECHBOSTON ACADEMY,Massachusetts,2502790,2014,985,763,193,692,43,31,96.96,10.16,boston,No,Yes
TECHBOSTON ACADEMY,Massachusetts,2502790,2015,982,0,221,655,40,37,89.32,10.99,boston,No,Yes
TECHBOSTON ACADEMY,Massachusetts,2502790,2016,972,0,235,641,37,28,85.85,11.32,boston,No,Yes
TECHBOSTON ACADEMY,Massachusetts,2502790,2017,917,0,241,595,30,18,93.64,9.79,boston,No,Yes
THE ENGLISH HIGH,Massachusetts,2502790,2013,596,506,301,247,10,18,53.25,11.19,boston,No,Yes
THE ENGLISH HIGH,Massachusetts,2502790,2014,559,414,288,238,7,15,69.96,7.99,boston,No,Yes
THE ENGLISH HIGH,Massachusetts,2502790,2015,586,0,326,224,10,17,54.16,10.82,boston,No,Yes
THE ENGLISH HIGH,Massachusetts,2502790,2016,553,0,298,230,9,11,48.68,11.36,boston,No,Yes
THE ENGLISH HIGH,Massachusetts,2502790,2017,539,0,296,225,8,7,49.91,10.8,boston,No,Yes
THOMAS J KENNY,Massachusetts,2502790,2013,301,227,59,162,46,18,20.2,14.9,boston,No,Yes
THOMAS J KENNY,Massachusetts,2502790,2014,293,210,53,143,58,24,25.78,11.37,boston,No,Yes
THOMAS J KENNY,Massachusetts,2502790,2015,312,0,62,150,55,31,23.94,13.03,boston,No,Yes
THOMAS J KENNY,Massachusetts,2502790,2016,332,0,68,137,57,55,21.99,15.1,boston,No,Yes
THOMAS J KENNY,Massachusetts,2502790,2017,325,0,73,120,50,65,26.98,12.05,boston,No,Yes
UP ACADEMY HOLLAND,Massachusetts,2502790,2013,742,627,310,319,97,6,48.09,15.43,boston,No,Yes
UP ACADEMY HOLLAND,Massachusetts,2502790,2014,720,714,311,305,22,7,66,10.91,boston,No,Yes
UP ACADEMY HOLLAND,Massachusetts,2502790,2015,753,0,312,316,33,26,62.39,12.07,boston,No,Yes
UP ACADEMY HOLLAND,Massachusetts,2502790,2016,759,0,317,330,35,27,48.42,15.68,boston,No,Yes
UP ACADEMY HOLLAND,Massachusetts,2502790,2017,762,0,331,339,51,13,48.02,15.87,boston,No,Yes
URBAN SCIENCE ACADEMY,Massachusetts,2502790,2013,505,387,188,250,6,43,45.81,11.02,boston,No,Yes
URBAN SCIENCE ACADEMY,Massachusetts,2502790,2014,471,316,175,235,7,42,41.92,11.24,boston,No,Yes
URBAN SCIENCE ACADEMY,Massachusetts,2502790,2015,497,0,179,250,7,42,36.85,13.49,boston,No,Yes
URBAN SCIENCE ACADEMY,Massachusetts,2502790,2016,432,0,157,220,6,36,44.13,9.79,boston,No,Yes
URBAN SCIENCE ACADEMY,Massachusetts,2502790,2017,392,0,153,201,0,25,40.14,9.77,boston,No,Yes
WARREN-PRESCOTT,Massachusetts,2502790,2013,542,300,138,59,24,296,31.8,17.04,boston,No,Yes
WARREN-PRESCOTT,Massachusetts,2502790,2014,532,285,135,67,22,283,34.47,15.43,boston,No,Yes
WARREN-PRESCOTT,Massachusetts,2502790,2015,545,0,134,79,30,277,35.18,15.49,boston,No,Yes
WARREN-PRESCOTT,Massachusetts,2502790,2016,582,0,142,80,31,299,35.97,16.18,boston,No,Yes
WARREN-PRESCOTT,Massachusetts,2502790,2017,602,0,162,73,32,307,37.8,15.93,boston,No,Yes
WASHINGTON IRVING MIDDLE,Massachusetts,2502790,2013,443,356,181,190,11,45,35.3,12.55,boston,No,Yes
WASHINGTON IRVING MIDDLE,Massachusetts,2502790,2014,354,259,150,148,10,32,39.31,9.01,boston,No,Yes
WASHINGTON IRVING MIDDLE,Massachusetts,2502790,2015,380,0,166,170,8,22,35.4,10.73,boston,No,Yes
WASHINGTON IRVING MIDDLE,Massachusetts,2502790,2016,344,0,163,142,4,25,24.8,13.87,boston,No,Yes
WASHINGTON IRVING MIDDLE,Massachusetts,2502790,2017,321,0,151,136,5,19,30.91,10.38,boston,No,Yes
WEST ROXBURY ACADEMY,Massachusetts,2502790,2013,612,496,239,290,8,58,46.42,13.18,boston,No,Yes
WEST ROXBURY ACADEMY,Massachusetts,2502790,2014,579,407,233,266,8,58,50.07,11.56,boston,No,Yes
WEST ROXBURY ACADEMY,Massachusetts,2502790,2015,529,0,221,235,7,53,41.66,12.7,boston,No,Yes
WEST ROXBURY ACADEMY,Massachusetts,2502790,2016,496,0,187,235,10,52,43.57,11.38,boston,No,Yes
WEST ROXBURY ACADEMY,Massachusetts,2502790,2017,475,0,180,237,13,32,39.31,12.08,boston,No,Yes
WILLIAM E RUSSELL,Massachusetts,2502790,2013,370,273,208,101,36,6,24.72,14.97,boston,No,Yes
WILLIAM E RUSSELL,Massachusetts,2502790,2014,387,271,216,111,38,8,23.93,16.17,boston,No,Yes
WILLIAM E RUSSELL,Massachusetts,2502790,2015,402,0,209,122,45,8,22,18.27,boston,No,Yes
WILLIAM E RUSSELL,Massachusetts,2502790,2016,385,0,199,115,46,8,23.36,16.48,boston,No,Yes
WILLIAM E RUSSELL,Massachusetts,2502790,2017,408,0,202,130,54,10,28.48,14.33,boston,No,Yes
WILLIAM ELLERY CHANNING,Massachusetts,2502790,2013,317,241,122,175,2,11,20.83,15.22,boston,No,Yes
WILLIAM ELLERY CHANNING,Massachusetts,2502790,2014,295,211,113,159,3,11,21.81,13.53,boston,No,Yes
WILLIAM ELLERY CHANNING,Massachusetts,2502790,2015,292,0,117,146,3,14,19.52,14.96,boston,No,Yes
WILLIAM ELLERY CHANNING,Massachusetts,2502790,2016,244,0,95,119,4,19,14.33,17.03,boston,No,Yes
WILLIAM ELLERY CHANNING,Massachusetts,2502790,2017,216,0,85,106,5,13,17.04,12.68,boston,No,Yes
WILLIAM H OHRENBERGER,Massachusetts,2502790,2013,607,417,271,158,29,131,38.74,15.67,boston,No,Yes
WILLIAM H OHRENBERGER,Massachusetts,2502790,2014,611,360,264,171,27,128,44.46,13.74,boston,No,Yes
WILLIAM H OHRENBERGER,Massachusetts,2502790,2015,629,0,289,162,22,136,41.4,15.19,boston,No,Yes
WILLIAM H OHRENBERGER,Massachusetts,2502790,2016,602,0,265,141,28,142,40.86,14.73,boston,No,Yes
WILLIAM H OHRENBERGER,Massachusetts,2502790,2017,648,0,268,183,26,150,48.14,13.46,boston,No,Yes
WILLIAM MCKINLEY,Massachusetts,2502790,2013,369,344,127,171,2,38,53.95,6.84,boston,No,Yes
WILLIAM MCKINLEY,Massachusetts,2502790,2014,381,338,126,193,3,44,53.48,7.12,boston,No,Yes
WILLIAM MCKINLEY,Massachusetts,2502790,2015,354,0,129,176,4,34,52.38,6.76,boston,No,Yes
WILLIAM MCKINLEY,Massachusetts,2502790,2016,337,0,126,161,3,35,48.59,6.94,boston,No,Yes
WILLIAM MCKINLEY,Massachusetts,2502790,2017,355,0,124,191,6,23,51.23,6.93,boston,No,Yes
WILLIAM MONROE TROTTER,Massachusetts,2502790,2013,411,347,123,248,0,23,28.27,14.54,boston,No,Yes
WILLIAM MONROE TROTTER,Massachusetts,2502790,2014,488,408,157,287,0,23,27.38,17.82,boston,No,Yes
WILLIAM MONROE TROTTER,Massachusetts,2502790,2015,511,0,167,301,0,22,25.2,20.28,boston,No,Yes
WILLIAM MONROE TROTTER,Massachusetts,2502790,2016,536,0,174,321,3,15,30.57,17.53,boston,No,Yes
WILLIAM MONROE TROTTER,Massachusetts,2502790,2017,525,0,180,302,4,13,34.53,15.2,boston,No,Yes
WINSHIP ELEMENTARY,Massachusetts,2502790,2013,302,217,125,75,26,63,24.05,12.56,boston,No,Yes
WINSHIP ELEMENTARY,Massachusetts,2502790,2014,313,189,114,69,29,82,20.74,15.09,boston,No,Yes
WINSHIP ELEMENTARY,Massachusetts,2502790,2015,258,0,90,54,31,69,22.15,11.65,boston,No,Yes
WINSHIP ELEMENTARY,Massachusetts,2502790,2016,243,0,88,45,30,68,18.73,12.97,boston,No,Yes
WINSHIP ELEMENTARY,Massachusetts,2502790,2017,221,0,72,38,32,66,21.59,10.24,boston,No,Yes
WM B ROGERS MIDDLE,Massachusetts,2502790,2013,484,384,113,312,33,11,47.33,10.23,boston,No,Yes
WM B ROGERS MIDDLE,Massachusetts,2502790,2014,348,249,113,202,15,8,35.16,9.9,boston,No,Yes
WM B ROGERS MIDDLE,Massachusetts,2502790,2015,,,,,,,,,boston,No,
YOUNG ACHIEVERS,Massachusetts,2502790,2013,518,406,242,255,2,11,51.21,10.12,boston,No,Yes
YOUNG ACHIEVERS,Massachusetts,2502790,2014,507,376,235,252,2,8,36.86,13.75,boston,No,Yes
YOUNG ACHIEVERS,Massachusetts,2502790,2015,542,0,242,283,0,10,38.14,14.21,boston,No,Yes
YOUNG ACHIEVERS,Massachusetts,2502790,2016,582,0,257,306,0,9,36.9,15.77,boston,No,Yes
YOUNG ACHIEVERS,Massachusetts,2502790,2017,565,0,259,286,0,7,40.09,14.09,boston,No,Yes
AMIGOS SCHOOL,Massachusetts,2503270,2013,343,78,146,19,8,135,31.61,10.85,cambridge,No,
AMIGOS SCHOOL,Massachusetts,2503270,2014,360,84,154,18,11,140,32.8,10.98,cambridge,No,
AMIGOS SCHOOL,Massachusetts,2503270,2015,370,0,156,18,13,147,32.11,11.52,cambridge,No,
AMIGOS SCHOOL,Massachusetts,2503270,2016,379,0,164,19,13,148,32.71,11.59,cambridge,No,
AMIGOS SCHOOL,Massachusetts,2503270,2017,397,0,174,19,14,153,35.1,11.31,cambridge,No,
CAMBRIDGE RINDGE AND LATIN,Massachusetts,2503270,2013,1741,691,240,578,203,653,172.29,10.11,cambridge,No,
CAMBRIDGE RINDGE AND LATIN,Massachusetts,2503270,2014,1836,737,233,613,207,711,177.51,10.34,cambridge,No,
CAMBRIDGE RINDGE AND LATIN,Massachusetts,2503270,2015,1864,0,249,601,211,724,176.54,10.56,cambridge,No,
CAMBRIDGE RINDGE AND LATIN,Massachusetts,2503270,2016,1956,0,264,592,232,761,178.4,10.96,cambridge,No,
CAMBRIDGE RINDGE AND LATIN,Massachusetts,2503270,2017,1965,0,269,594,226,750,190.17,10.33,cambridge,No,
CAMBRIDGE STREET UPPER SCHOOL,Massachusetts,2503270,2013,267,131,36,92,24,95,25.7,10.39,cambridge,No,
CAMBRIDGE STREET UPPER SCHOOL,Massachusetts,2503270,2014,259,118,38,81,20,103,28.72,9.02,cambridge,No,
CAMBRIDGE STREET UPPER SCHOOL,Massachusetts,2503270,2015,252,0,43,88,19,81,31.2,8.08,cambridge,No,
CAMBRIDGE STREET UPPER SCHOOL,Massachusetts,2503270,2016,261,0,46,79,25,92,29.66,8.8,cambridge,No,
CAMBRIDGE STREET UPPER SCHOOL,Massachusetts,2503270,2017,248,0,54,70,16,83,33.76,7.35,cambridge,No,
CAMBRIDGEPORT,Massachusetts,2503270,2013,280,93,30,57,27,141,25.22,11.1,cambridge,No,
CAMBRIDGEPORT,Massachusetts,2503270,2014,286,101,30,61,26,150,23.96,11.94,cambridge,No,
CAMBRIDGEPORT,Massachusetts,2503270,2015,298,0,34,58,17,168,23.32,12.78,cambridge,No,
CAMBRIDGEPORT,Massachusetts,2503270,2016,311,0,31,62,25,168,22.82,13.63,cambridge,No,
CAMBRIDGEPORT,Massachusetts,2503270,2017,342,0,28,67,32,177,24.99,13.69,cambridge,No,Yes
FLETCHER/MAYNARD ACADEMY,Massachusetts,2503270,2013,235,141,44,95,18,57,28.8,8.16,cambridge,No,Yes
FLETCHER/MAYNARD ACADEMY,Massachusetts,2503270,2014,263,161,52,117,22,55,28.54,9.22,cambridge,No,Yes
FLETCHER/MAYNARD ACADEMY,Massachusetts,2503270,2015,258,0,46,113,24,59,32.14,8.03,cambridge,No,Yes
FLETCHER/MAYNARD ACADEMY,Massachusetts,2503270,2016,260,0,40,129,23,53,29.87,8.7,cambridge,No,Yes
FLETCHER/MAYNARD ACADEMY,Massachusetts,2503270,2017,296,0,46,146,25,58,30.03,9.86,cambridge,No,Yes
GRAHAM AND PARKS,Massachusetts,2503270,2013,359,108,38,78,69,154,30.65,11.71,cambridge,No,
GRAHAM AND PARKS,Massachusetts,2503270,2014,392,145,32,78,97,167,30.98,12.65,cambridge,No,
GRAHAM AND PARKS,Massachusetts,2503270,2015,363,0,26,70,88,163,31.99,11.35,cambridge,No,
GRAHAM AND PARKS,Massachusetts,2503270,2016,392,0,23,74,82,193,30.21,12.98,cambridge,No,Yes
GRAHAM AND PARKS,Massachusetts,2503270,2017,362,0,16,69,71,189,31.52,11.48,cambridge,No,Yes
HAGGERTY,Massachusetts,2503270,2013,248,75,13,71,32,107,22.5,11.02,cambridge,No,
HAGGERTY,Massachusetts,2503270,2014,269,84,10,71,34,126,25.28,10.64,cambridge,No,
HAGGERTY,Massachusetts,2503270,2015,258,0,12,61,35,115,26.95,9.57,cambridge,No,
HAGGERTY,Massachusetts,2503270,2016,253,0,16,57,34,117,25.11,10.08,cambridge,No,
HAGGERTY,Massachusetts,2503270,2017,257,0,18,53,41,116,24.89,10.33,cambridge,No,
JOHN M TOBIN,Massachusetts,2503270,2013,287,90,25,71,42,117,21.54,13.32,cambridge,No,Yes
JOHN M TOBIN,Massachusetts,2503270,2014,292,103,26,76,40,113,20.76,14.07,cambridge,No,
JOHN M TOBIN,Massachusetts,2503270,2015,281,0,29,69,41,115,20.8,13.51,cambridge,No,
JOHN M TOBIN,Massachusetts,2503270,2016,291,0,32,73,44,112,21.92,13.28,cambridge,No,
JOHN M TOBIN,Massachusetts,2503270,2017,293,0,27,77,44,115,21.78,13.45,cambridge,No,
KENNEDY-LONGFELLOW,Massachusetts,2503270,2013,255,147,48,67,40,86,22.21,11.48,cambridge,No,Yes
KENNEDY-LONGFELLOW,Massachusetts,2503270,2014,258,138,54,59,47,83,27.91,9.24,cambridge,No,Yes
KENNEDY-LONGFELLOW,Massachusetts,2503270,2015,270,0,47,50,59,93,29.26,9.23,cambridge,No,Yes
KENNEDY-LONGFELLOW,Massachusetts,2503270,2016,266,0,47,49,53,99,28.53,9.32,cambridge,No,Yes
KENNEDY-LONGFELLOW,Massachusetts,2503270,2017,293,0,51,59,71,87,27.73,10.57,cambridge,No,Yes
KING OPEN,Massachusetts,2503270,2013,334,123,51,63,27,163,32.69,10.22,cambridge,No,
KING OPEN,Massachusetts,2503270,2014,316,134,46,54,25,161,30.91,10.22,cambridge,No,
KING OPEN,Massachusetts,2503270,2015,320,0,44,54,34,158,33.48,9.56,cambridge,No,
KING OPEN,Massachusetts,2503270,2016,325,0,54,59,29,149,35.51,9.15,cambridge,No,Yes
KING OPEN,Massachusetts,2503270,2017,329,0,52,65,35,146,34.88,9.43,cambridge,No,Yes
MARIA L. BALDWIN,Massachusetts,2503270,2013,323,86,32,65,41,154,23.85,13.54,cambridge,No,
MARIA L. BALDWIN,Massachusetts,2503270,2014,343,113,31,80,41,160,30.44,11.27,cambridge,No,
MARIA L. BALDWIN,Massachusetts,2503270,2015,347,0,38,75,39,167,28.5,12.18,cambridge,No,
MARIA L. BALDWIN,Massachusetts,2503270,2016,356,0,46,62,34,173,30.31,11.75,cambridge,No,
MARIA L. BALDWIN,Massachusetts,2503270,2017,364,0,43,54,35,191,30.56,11.91,cambridge,No,
MARTIN LUTHER KING JR.,Massachusetts,2503270,2013,267,111,27,86,65,60,25.02,10.67,cambridge,No,Yes
MARTIN LUTHER KING JR.,Massachusetts,2503270,2014,268,111,30,80,63,64,31.24,8.58,cambridge,No,Yes
MARTIN LUTHER KING JR.,Massachusetts,2503270,2015,309,0,28,79,73,91,28.3,10.92,cambridge,No,Yes
MARTIN LUTHER KING JR.,Massachusetts,2503270,2016,317,0,21,83,71,87,26.88,11.79,cambridge,No,Yes
MARTIN LUTHER KING JR.,Massachusetts,2503270,2017,328,0,19,80,72,97,29.53,11.11,cambridge,No,Yes
MORSE,Massachusetts,2503270,2013,281,133,25,97,40,85,28.05,10.02,cambridge,No,Yes
MORSE,Massachusetts,2503270,2014,302,135,31,90,43,101,29.95,10.08,cambridge,No,Yes
MORSE,Massachusetts,2503270,2015,308,0,38,81,46,111,31.22,9.87,cambridge,No,Yes
MORSE,Massachusetts,2503270,2016,306,0,33,71,40,127,31.46,9.73,cambridge,No,Yes
MORSE,Massachusetts,2503270,2017,306,0,37,69,38,127,32.51,9.41,cambridge,No,Yes
PEABODY,Massachusetts,2503270,2013,311,133,27,99,28,133,26.15,11.89,cambridge,No,
PEABODY,Massachusetts,2503270,2014,320,134,25,93,36,145,26.44,12.1,cambridge,No,Yes
PEABODY,Massachusetts,2503270,2015,321,0,24,89,38,147,26.78,11.99,cambridge,No,Yes
PEABODY,Massachusetts,2503270,2016,316,0,21,77,39,155,26.18,12.07,cambridge,No,Yes
PEABODY,Massachusetts,2503270,2017,323,0,22,76,42,160,26.35,12.26,cambridge,No,Yes
PUTNAM AVENUE UPPER SCHOOL,Massachusetts,2503270,2013,246,139,37,99,29,71,29.87,8.24,cambridge,No,
