school,state,leaid,year,enrollment,freelunch,hispanic,black,asian,white,teachers,studteachratio,district,charter,title1
JAMES OTIS,Massachusetts,2502790,2014,379,269,293,12,6,62,27.71,13.68,boston,No,Yes
JAMES OTIS,Massachusetts,2502790,2015,402,0,291,13,6,84,24.66,16.3,boston,No,Yes
JAMES OTIS,Massachusetts,2502790,2016,398,0,275,20,8,89,26.56,14.98,boston,No,Yes
JAMES OTIS,Massachusetts,2502790,2017,405,0,279,18,8,94,29.51,13.72,boston,No,Yes
JAMES P TIMILTY MIDDLE,Massachusetts,2502790,2013,562,498,330,216,4,6,45.24,12.42,boston,No,Yes
JAMES P TIMILTY MIDDLE,Massachusetts,2502790,2014,486,392,303,169,2,5,41.07,11.83,boston,No,Yes
JAMES P TIMILTY MIDDLE,Massachusetts,2502790,2015,432,0,275,141,0,2,37.73,11.45,boston,No,Yes
JAMES P TIMILTY MIDDLE,Massachusetts,2502790,2016,371,0,244,109,6,2,30.67,12.1,boston,No,Yes
JAMES P TIMILTY MIDDLE,Massachusetts,2502790,2017,331,0,213,102,2,5,29.66,11.16,boston,No,Yes
JAMES W HENNIGAN,Massachusetts,2502790,2013,585,502,362,186,9,20,43.41,13.48,boston,No,Yes
JAMES W HENNIGAN,Massachusetts,2502790,2014,620,495,406,166,10,28,43.8,14.16,boston,No,Yes
JAMES W HENNIGAN,Massachusetts,2502790,2015,624,0,389,183,11,29,46.58,13.4,boston,No,Yes
JAMES W HENNIGAN,Massachusetts,2502790,2016,638,0,396,177,14,39,45.3,14.08,boston,No,Yes
JAMES W HENNIGAN,Massachusetts,2502790,2017,582,0,367,166,15,24,47.52,12.25,boston,No,Yes
JEREMIAH E BURKE HIGH,Massachusetts,2502790,2013,536,412,108,405,5,13,40.3,13.3,boston,No,Yes
JEREMIAH E BURKE HIGH,Massachusetts,2502790,2014,539,357,112,398,6,17,35.39,15.23,boston,No,Yes
JEREMIAH E BURKE HIGH,Massachusetts,2502790,2015,532,0,125,382,4,14,33.64,15.81,boston,No,Yes
JEREMIAH E BURKE HIGH,Massachusetts,2502790,2016,489,0,110,356,3,16,34.51,14.17,boston,No,Yes
JEREMIAH E BURKE HIGH,Massachusetts,2502790,2017,472,0,115,335,3,9,31.91,14.79,boston,No,Yes
JOHN D PHILBRICK,Massachusetts,2502790,2013,150,73,53,36,2,46,12.79,11.73,boston,No,Yes
JOHN D PHILBRICK,Massachusetts,2502790,2014,161,71,48,49,2,51,11.4,14.12,boston,No,Yes
JOHN D PHILBRICK,Massachusetts,2502790,2015,165,0,52,57,3,47,11.69,14.11,boston,No,Yes
JOHN D PHILBRICK,Massachusetts,2502790,2016,172,0,56,70,2,38,12.12,14.19,boston,No,Yes
